date,cpi_rate,gdp_value,usd_vnd_rate,xau_usd_rate,market_cap,pe_ratio,fpt_net_revenue,fpt_gross_profit,fpt_operating_profit,fpt_net_profit,fpt_stock_price,fpt_stock_volume
2022-09-28,,,23782.5,1663.17,,,,,,,49.01,2052319.0
2022-09-29,0.0394,,23860.0,1665.12,,,,,,,48.38,1306874.0
2022-09-30,,,23887.5,1675.57,,,11148559020353.0,4359485692257.0,1993657541909.0,1453716280969.0,50.58,2115328.0
2022-10-03,,,23913.5,1701.8,,,,,,,48.38,1250717.0
2022-10-04,,,23907.5,1729.73,,,,,,,48.69,2043505.0
2022-10-05,,,23907.5,1728.1,,,,,,,49.26,973961.0
2022-10-06,,,23887.5,1726.09,,,,,,,48.06,1269026.0
2022-10-07,,,23895.0,1715.4,,,,,,,46.49,2066184.0
2022-10-10,,,23895.0,1700.33,,,,,,,46.49,1629697.0
2022-10-11,,,23942.5,1684.44,,,,,,,44.61,1596971.0
2022-10-12,,,23977.5,1678.9,,,,,,,45.49,1466379.0
2022-10-13,,,24155.0,1682.84,,,,,,,45.86,830864.0
2022-10-14,,,24183.5,1672.02,,,,,,,46.49,846734.0
2022-10-17,,,24355.0,1668.69,,,,,,,46.37,709751.0
2022-10-18,,,24445.0,1661.27,,,,,,,47.06,880847.0
2022-10-19,,,24580.0,1654.9,,,,,,,47.43,1025903.0
2022-10-20,,,24564.0,1645.83,,,,,,,48.88,1733758.0
2022-10-21,,,24845.0,1659.08,,,,,,,46.43,1569208.0
2022-10-24,,,24872.5,1670.55,,,,,,,44.67,1429975.0
2022-10-25,,,24867.5,1662.89,,,,,,,45.99,1567991.0
2022-10-26,,,24862.5,1675.12,,,,,,,46.37,626989.0
2022-10-27,,,24851.0,1671.09,,,,,,,47.62,938494.0
2022-10-28,,,24850.0,1667.44,,,,,,,47.12,878087.0
2022-10-29,0.043,,,,,,,,,,,
2022-10-31,,,24860.0,1645.8,,,,,,,47.5,1087300.0
2022-11-01,,,24875.0,1657.13,,,,,,,47.43,563319.0
2022-11-02,,,24872.5,1669.6,,,,,,,46.49,980330.0
2022-11-03,,,24872.5,1641.32,,,,,,,46.55,624173.0
2022-11-04,,,24883.0,1682.17,,,,,,,45.8,1649525.0
2022-11-07,,,24874.5,1682.08,,,,,,,45.61,1574023.0
2022-11-08,,,24871.5,1717.31,,,,,,,46.05,947845.0
2022-11-09,,,24873.5,1722.94,,,,,,,46.49,699349.0
2022-11-10,,,24872.0,1757.59,,,,,,,45.86,1598605.0
