date,fpt_stock_price_log_return_scaled,market_cap_log_return,fpt_stock_price_log_return,gdp_value,cpi_rate,fpt_stock_price,fpt_stock_volume_log_return,fpt_net_revenue_log_return,usd_vnd_rate_log_return,xau_usd_rate_log_return
2020-04-16,0.1658519449089847,0.0,0.0038199227895700807,346615738537.8,0.049,18.36,-0.37971568640781694,0.0,-0.0005751595161059699,0.004213056312866441
2020-04-17,0.9777476414810555,0.0,0.017814236275127217,346615738537.8,0.049,18.69,0.5565009047479536,0.0,-0.00021310602105153003,-0.011598340248390559
2020-04-20,0.06826722704540324,0.0,0.0021378949885255886,346615738537.8,0.049,18.73,-0.16122577931563267,0.0,-0.0002131514449080469,-0.009159227139697941
2020-04-21,-2.3621817670406076,0.0,-0.039754758559832515,346615738537.8,0.049,18.0,0.5119188833722939,0.0,0.00042625746595953526,-0.002669412139298948
2020-04-22,2.002321041116795,0.0,0.03547438819365973,346615738537.8,0.049,18.65,-0.4238997308074385,0.0,0.0014904719037323187,0.012392863413092165
2020-04-23,-0.1491637825042196,0.0,-0.0016098742409033594,346615738537.8,0.049,18.62,-0.5844078847984362,0.0,0.0010207554475962731,0.011091627372139833
2020-04-24,-0.05576513386306898,0.0,0.0,346615738537.8,0.049,18.62,0.03457903463254373,0.0,-0.00025509119648553443,-0.0005464905377426774
2020-04-27,-0.3995190411895601,0.0,-0.005925145263514822,346615738537.8,0.049,18.51,0.005912850618546748,0.0,-0.00034022284924589973,-0.005811235411518013
2020-04-28,-0.05576513386306898,0.0,0.0,346615738537.8,0.049,18.51,-0.37650655059979504,0.0,-0.0013833468553465361,-0.006753780742275787
2020-04-29,0.03818810888485015,0.0,0.0016194335523027543,346615738537.8,0.0289999999999999,18.54,0.3255598101813003,0.0,-0.0011720208043432274,0.0007746723319748839
2020-04-30,-0.05576513386306898,0.0,0.0,346615738537.8,0.0289999999999999,18.54,0.0,0.0,-0.0009386066647525029,0.00500631189124078
2020-05-01,-0.05576513386306898,0.0,0.0,346615738537.8,0.0289999999999999,18.54,0.0,0.0,0.0,-0.011613165317520064
2020-05-04,-0.401006759585183,0.0,-0.005950788455977203,346615738537.8,0.0289999999999999,18.43,-0.40987361656190024,0.0,0.002004136866790793,0.0033877412666573764
2020-05-05,0.41451127025033496,0.0,0.008105961703960482,346615738537.8,0.0289999999999999,18.58,-0.2782831832080596,0.0,-0.002025479078484933,0.00035040589040429194
2020-05-06,2.1800229420337995,0.0,0.03853736305473072,346615738537.8,0.0289999999999999,19.31,1.6328205611032351,0.0,0.00042675771478798324,-0.002777414114206874
2020-05-07,0.6014790341009556,0.0,0.011328648448164625,346615738537.8,0.0289999999999999,19.53,-0.5358074107175462,0.0,-0.00021335609212570677,0.008262750844202959
